retraso_real_minutos,retraso_predicho_minutos,error_minutos,error_absoluto_minutos,nivel_retraso_real
0,24.19218784667394,-24.19218784667394,24.19218784667394,Sin retraso
37,9.919644135439238,27.08035586456076,27.08035586456076,Retraso alto
0,3.1789811218256983,-3.1789811218256983,3.1789811218256983,Sin retraso
68,9.943715990027515,58.05628400997249,58.05628400997249,Retraso alto
31,21.38911964335755,9.61088035664245,9.61088035664245,Retraso alto
103,21.173664779979354,81.82633522002064,81.82633522002064,Retraso alto
0,9.248759396093847,-9.248759396093847,9.248759396093847,Sin retraso
0,7.961963747149171,-7.961963747149171,7.961963747149171,Sin retraso
50,11.79330626561871,38.20669373438129,38.20669373438129,Retraso alto
0,14.771472457532617,-14.771472457532617,14.771472457532617,Sin retraso
0,2.1962256879530497,-2.1962256879530497,2.1962256879530497,Sin retraso
0,6.248345663277762,-6.248345663277762,6.248345663277762,Sin retraso
23,8.353670761756463,14.646329238243537,14.646329238243537,Retraso medio
0,14.26085261576992,-14.26085261576992,14.26085261576992,Sin retraso
0,3.6586044619264286,-3.6586044619264286,3.6586044619264286,Sin retraso
0,11.591853558091671,-11.591853558091671,11.591853558091671,Sin retraso
72,15.401161578927045,56.598838421072955,56.598838421072955,Retraso alto
71,10.365955760027758,60.63404423997224,60.63404423997224,Retraso alto
23,10.19852959158323,12.80147040841677,12.80147040841677,Retraso medio
64,24.08194523359157,39.91805476640843,39.91805476640843,Retraso alto
56,34.68056117556576,21.319438824434243,21.319438824434243,Retraso alto
0,4.744097444161162,-4.744097444161162,4.744097444161162,Sin retraso
31,9.955911126707724,21.044088873292274,21.044088873292274,Retraso alto
50,27.789685107276327,22.210314892723673,22.210314892723673,Retraso alto
0,19.139483542741356,-19.139483542741356,19.139483542741356,Sin retraso
0,9.352733308847242,-9.352733308847242,9.352733308847242,Sin retraso
0,3.178839826879349,-3.178839826879349,3.178839826879349,Sin retraso
0,4.725262034892985,-4.725262034892985,4.725262034892985,Sin retraso
0,5.433682254815171,-5.433682254815171,5.433682254815171,Sin retraso
0,6.761911961274437,-6.761911961274437,6.761911961274437,Sin retraso
0,11.092623214614171,-11.092623214614171,11.092623214614171,Sin retraso
70,20.989789723265375,49.010210276734625,49.010210276734625,Retraso alto
61,9.355933599039798,51.6440664009602,51.6440664009602,Retraso alto
0,4.11519785842146,-4.11519785842146,4.11519785842146,Sin retraso
0,18.70667363502157,-18.70667363502157,18.70667363502157,Sin retraso
0,8.270537455087434,-8.270537455087434,8.270537455087434,Sin retraso
0,18.50284599887019,-18.50284599887019,18.50284599887019,Sin retraso
0,2.5868386702189183,-2.5868386702189183,2.5868386702189183,Sin retraso
0,27.839916289000204,-27.839916289000204,27.839916289000204,Sin retraso
39,8.327108771108934,30.672891228891068,30.672891228891068,Retraso alto
