id_vehiculo,mantenimientos,fallas,emergencias,costo_total,horas_fuera_servicio,retrasos_por_mantenimiento,severidad_critica,porcentaje_costo_total,porcentaje_mantenimientos,indice_riesgo,nivel_riesgo
12,15,10,4,154886.8,337,22.466666666666665,4,2.652981132594627,3.4324942791762014,48,CRÍTICO
9,15,12,3,213006.04,238,15.866666666666667,3,3.648477502593485,3.4324942791762014,45,CRÍTICO
27,13,9,6,225112.97,121,9.307692307692308,1,3.8558512546733508,2.9748283752860414,40,CRÍTICO
36,15,10,4,230537.2,146,9.733333333333333,1,3.9487602685393086,3.4324942791762014,36,CRÍTICO
29,15,9,3,196519.35,256,17.066666666666666,2,3.36608495843261,3.4324942791762014,35,CRÍTICO
22,12,7,3,168660.44,200,16.666666666666668,3,2.888903154659456,2.745995423340961,35,CRÍTICO
3,11,8,6,163227.18,63,5.7272727272727275,0,2.795839470288153,2.517162471395881,34,CRÍTICO
25,13,7,1,193999.4,288,22.153846153846153,4,3.322921952901591,2.9748283752860414,33,CRÍTICO
4,15,9,2,201691.25,190,12.666666666666666,2,3.454671933692388,3.4324942791762014,32,CRÍTICO
17,13,8,4,226072.47999999998,177,13.615384615384615,1,3.8722862376837552,2.9748283752860414,32,CRÍTICO
16,13,6,1,174036.52,241,18.53846153846154,4,2.9809874304487374,2.9748283752860414,31,CRÍTICO
26,14,7,3,215070.15,194,13.857142857142858,2,3.6838326450949745,3.203661327231121,31,CRÍTICO
20,11,6,3,175075.6,147,13.363636363636363,2,2.998785329528946,2.517162471395881,29,ALTO
30,11,9,2,149984.74,141,12.818181818181818,1,2.569016116267562,2.517162471395881,28,ALTO
35,12,7,2,190798.03,217,18.083333333333332,2,3.26808723355524,2.745995423340961,28,ALTO
2,13,6,3,194126.51,146,11.23076923076923,1,3.3250991586529146,2.9748283752860414,25,ALTO
14,12,6,3,169539.96,143,11.916666666666666,1,2.903968027623063,2.745995423340961,25,ALTO
21,13,7,2,152705.3,163,12.538461538461538,1,2.6156152735236464,2.9748283752860414,24,ALTO
31,10,6,1,130213.41,159,15.9,2,2.2303625611789295,2.2883295194508007,23,ALTO
15,13,6,2,151439.04,189,14.538461538461538,1,2.593926118030995,2.9748283752860414,22,ALTO
19,9,3,1,135895.13999999998,201,22.333333333333332,3,2.327682168082144,2.059496567505721,21,ALTO
6,11,6,1,128698.29999999999,140,12.727272727272727,1,2.204410974318038,2.517162471395881,19,MODERADO
34,6,4,1,61925.14,135,22.5,2,1.0606857915153574,1.3729977116704806,19,MODERADO
38,11,8,1,177636.34,93,8.454545454545455,0,3.0426470072540996,2.517162471395881,19,MODERADO
39,8,4,2,77287.04000000001,96,12.0,1,1.323812351433991,1.8306636155606408,18,MODERADO
13,13,3,0,105330.84,211,16.23076923076923,3,1.8041610466504792,2.9748283752860414,18,MODERADO
11,10,3,1,125932.87,123,12.3,2,2.157043260519889,2.2883295194508007,17,MODERADO
1,11,5,1,182621.12,163,14.818181818181818,1,3.128028894478415,2.517162471395881,17,MODERADO
33,10,4,3,99853.95,95,9.5,0,1.7103500450977571,2.2883295194508007,17,MODERADO
10,6,3,1,99629.68,76,12.666666666666666,2,1.706508632668764,1.3729977116704806,17,MODERADO
23,7,5,2,80008.76999999999,119,17.0,0,1.3704315490545549,1.6018306636155606,16,MODERADO
32,10,5,2,143313.02,74,7.4,0,2.454739449166465,2.2883295194508007,16,MODERADO
40,12,2,1,124063.54000000001,126,10.5,2,2.1250244104913967,2.745995423340961,15,MODERADO
24,12,5,0,165805.52,92,7.666666666666667,1,2.840002609906339,2.745995423340961,14,MODERADO
7,9,4,2,96644.16,110,12.222222222222221,0,1.6553711036412166,2.059496567505721,14,MODERADO
18,5,3,2,68830.56,18,3.6,0,1.178965392957453,1.1441647597254003,12,MODERADO
28,5,2,0,51796.78,143,28.6,2,0.8872020086227795,1.1441647597254003,12,MODERADO
5,7,1,0,70482.42,180,25.714285714285715,2,1.2072593044701694,1.6018306636155606,10,MODERADO
37,10,5,0,104942.03,100,10.0,0,1.7975013080919704,2.2883295194508007,10,MODERADO
8,6,2,0,60817.58,97,16.166666666666668,1,1.0417149316149883,1.3729977116704806,8,BAJO
